dist_family,rho,heterogeneity,cost_scenario,instances,drop_mean,drop_median,ratio_mean,ratio_median
uniform,-0.5,none,zero,5,0.15220694960494194,0.15635687923640174,0.8477930503950579,0.8436431207635983
logit,0.0,none,hvlm,5,0.1556288690990103,0.15311416878017936,0.8443711309009897,0.8468858312198206
logit,-0.5,full,hvlm,5,0.15690177301016145,0.15689785617650698,0.8430982269898385,0.843102143823493
logit,0.0,partial,hvhm,5,0.16241881857516144,0.16272322822891172,0.8375811814248386,0.8372767717710883
logit,-0.5,partial,hvhm,5,0.16519114950629146,0.17129187155342074,0.8348088504937085,0.8287081284465793
exponential,-0.5,full,zero,5,0.16646571624407047,0.14544870694438627,0.8335342837559295,0.8545512930556137
exponential,-0.5,partial,zero,5,0.1724535138156906,0.1833191695464792,0.8275464861843094,0.8166808304535208
normal,-0.5,none,zero,5,0.17585358638340945,0.17532840482541134,0.8241464136165906,0.8246715951745887
exponential,-0.5,none,zero,5,0.17871285453077362,0.1773268189322077,0.8212871454692262,0.8226731810677923
exponential,0.0,partial,zero,5,0.18412876056851796,0.20042177800082595,0.815871239431482,0.799578221999174
logit,-0.5,full,hvhm,5,0.1845455712107198,0.17088264317968904,0.8154544287892802,0.829117356820311
lognormal,0.5,none,zero,5,0.18483976178888678,0.21357151054195922,0.8151602382111133,0.7864284894580408
logit,0.5,full,hvlm,5,0.18749196259279804,0.1961159628590765,0.812508037407202,0.8038840371409235
uniform,0.0,none,zero,5,0.1954990494481636,0.2190002808451551,0.8045009505518363,0.7809997191548449
logit,0.0,full,hvhm,5,0.19711947749168313,0.18196722250279806,0.8028805225083169,0.8180327774972019
lognormal,0.5,partial,zero,5,0.19794064139259265,0.23188406213709534,0.8020593586074073,0.7681159378629047
uniform,0.5,none,zero,5,0.1994162105196743,0.19830295149230526,0.8005837894803257,0.8016970485076947
normal,0.5,partial,hvhm,5,0.20024165968409954,0.14626157730243283,0.7997583403159005,0.8537384226975672
logit,0.0,full,hvlm,5,0.20066298620950115,0.20369015113930222,0.7993370137904988,0.7963098488606978
normal,0.5,none,hvlm,5,0.20233889882408654,0.17660824621301596,0.7976611011759134,0.823391753786984
logit,-0.5,none,hvlm,5,0.21232608186190222,0.1874594298050163,0.7876739181380977,0.8125405701949837
normal,0.5,partial,hvlm,5,0.21357101729874023,0.20760294595959883,0.7864289827012597,0.7923970540404012
normal,-0.5,none,hvlm,5,0.21751766630744865,0.2187382438129396,0.7824823336925514,0.7812617561870604
normal,-0.5,partial,hvlm,5,0.21895085665596642,0.1948506383754044,0.7810491433440336,0.8051493616245956
lognormal,-0.5,none,hvlm,5,0.22257318078316451,0.2048508431486168,0.7774268192168355,0.7951491568513832
normal,-0.5,partial,hvhm,5,0.23380370995209346,0.26006529778484877,0.7661962900479065,0.7399347022151512
logit,0.5,full,hvhm,5,0.23429343487677756,0.1955825696145409,0.7657065651232224,0.8044174303854591
lognormal,0.5,none,hvlm,5,0.23778907319856976,0.2458416988802118,0.7622109268014302,0.7541583011197882
exponential,0.5,full,zero,5,0.23805225705048683,0.20941653842399865,0.7619477429495132,0.7905834615760013
uniform,-0.5,none,hvlm,5,0.2400531324287441,0.24167812916744047,0.759946867571256,0.7583218708325595
exponential,0.0,full,zero,5,0.24287392250459403,0.24724107295925657,0.757126077495406,0.7527589270407434
uniform,-0.5,partial,hvhm,5,0.2440822875075453,0.24572479297354455,0.7559177124924548,0.7542752070264555
normal,0.0,partial,hvlm,5,0.2449092455121547,0.2382815367441996,0.7550907544878454,0.7617184632558004
uniform,-0.5,full,hvhm,5,0.24551050973343785,0.2888227281891097,0.7544894902665622,0.7111772718108903
exponential,0.5,partial,zero,5,0.246528169167253,0.23401643011014983,0.753471830832747,0.7659835698898502
lognormal,0.0,none,hvlm,5,0.24731746522910658,0.2590578972640414,0.7526825347708934,0.7409421027359586
normal,-0.5,full,hvlm,5,0.24746282807638903,0.24763513603621223,0.7525371719236109,0.7523648639637878
