instance_id,dist_family,rho,heterogeneity,cost_scenario,seed,status,revenue_in_sample,revenue_out_sample,ratio_out_in,drop
cpbsd_instance_001_N5_K50_lognormal_rho0.0_full_hvlm,lognormal,0.0,full,hvlm,20331306,OK,3.871163532820466,2.1044126414992848,0.5436124368442902,0.45638756315570983
cpbsd_instance_001_N5_K50_lognormal_rho0.0_full_zero,lognormal,0.0,full,zero,20329306,OK,17.161266724618514,16.429033923468452,0.9573322405099826,0.04266775949001744
cpbsd_instance_001_N5_K50_lognormal_rho0.0_none_hvhm,lognormal,0.0,none,hvhm,20324306,OK,0.9422465034861304,0.5761957038312923,0.6115127004446068,0.3884872995553932
cpbsd_instance_001_N5_K50_lognormal_rho0.0_none_hvlm,lognormal,0.0,none,hvlm,20325306,OK,1.1351815998239418,0.8748472960662595,0.7706672625789053,0.22933273742109472
cpbsd_instance_001_N5_K50_lognormal_rho0.0_none_zero,lognormal,0.0,none,zero,20323306,OK,3.4708225938196393,3.110448430362765,0.8961703879366871,0.10382961206331287
cpbsd_instance_001_N5_K50_lognormal_rho0.0_partial_hvhm,lognormal,0.0,partial,hvhm,20327306,OK,2.625397456176024,1.6377431980901684,0.623807718803687,0.376192281196313
cpbsd_instance_001_N5_K50_lognormal_rho0.0_partial_hvlm,lognormal,0.0,partial,hvlm,20328306,OK,2.7507964824939104,1.4762068619604192,0.5366470661697479,0.4633529338302521
cpbsd_instance_001_N5_K50_lognormal_rho0.0_partial_zero,lognormal,0.0,partial,zero,20326306,OK,11.573497764289492,9.82865732735954,0.8492382793459615,0.15076172065403848
cpbsd_instance_001_N5_K50_lognormal_rho0.5_full_hvhm,lognormal,0.5,full,hvhm,20339306,OK,3.3046422042090615,2.1071727915347824,0.6376402228510293,0.3623597771489707
cpbsd_instance_001_N5_K50_lognormal_rho0.5_full_hvlm,lognormal,0.5,full,hvlm,20340306,OK,3.5230578241867727,2.113087578879097,0.5997879354611106,0.40021206453888936
cpbsd_instance_001_N5_K50_lognormal_rho0.5_full_zero,lognormal,0.5,full,zero,20338306,OK,18.461882220959076,13.9948824355557,0.7580420169546873,0.24195798304531269
cpbsd_instance_001_N5_K50_lognormal_rho0.5_none_hvhm,lognormal,0.5,none,hvhm,20333306,OK,0.8218978090593445,0.5490679583590403,0.668048937844772,0.33195106215522796
cpbsd_instance_001_N5_K50_lognormal_rho0.5_none_hvlm,lognormal,0.5,none,hvlm,20334306,OK,1.0384633448450513,0.7817062201794944,0.752752828551818,0.24724717144818198
cpbsd_instance_001_N5_K50_lognormal_rho0.5_none_zero,lognormal,0.5,none,zero,20332306,OK,3.247011780149644,2.82467308588312,0.8699300394139439,0.13006996058605613
cpbsd_instance_001_N5_K50_lognormal_rho0.5_partial_hvhm,lognormal,0.5,partial,hvhm,20336306,OK,2.451753709773069,1.507279802563036,0.6147761892048071,0.38522381079519286
cpbsd_instance_001_N5_K50_lognormal_rho0.5_partial_hvlm,lognormal,0.5,partial,hvlm,20337306,OK,2.2980738553246898,1.883384444860097,0.8195491369854159,0.18045086301458413
cpbsd_instance_001_N5_K50_lognormal_rho0.5_partial_zero,lognormal,0.5,partial,zero,20335306,OK,10.502125818844103,8.0736853200411,0.76876676772948,0.23123323227051995
cpbsd_instance_001_N5_K50_normal_rho-0.5_full_hvhm,normal,-0.5,full,hvhm,20348306,OK,1.7089867895712256,1.3973850101157481,0.8176687020888813,0.18233129791111868
cpbsd_instance_001_N5_K50_normal_rho-0.5_full_hvlm,normal,-0.5,full,hvlm,20349306,OK,1.3100254902917918,0.9112119442003149,0.6955681022644482,0.3044318977355518
cpbsd_instance_001_N5_K50_normal_rho-0.5_full_zero,normal,-0.5,full,zero,20347306,OK,26.35833324920398,24.0186778399881,0.9112365950041041,0.08876340499589586
cpbsd_instance_001_N5_K50_normal_rho-0.5_none_hvhm,normal,-0.5,none,hvhm,20342306,OK,1.0643919988640294,0.8325770296731122,0.7822090269014411,0.21779097309855888
cpbsd_instance_001_N5_K50_normal_rho-0.5_none_hvlm,normal,-0.5,none,hvlm,20343306,OK,1.254118229765443,1.0606263455428735,0.8457147981504438,0.15428520184955619
cpbsd_instance_001_N5_K50_normal_rho-0.5_none_zero,normal,-0.5,none,zero,20341306,OK,3.972657855125847,3.50284517459301,0.8817384487499607,0.11826155125003934
cpbsd_instance_001_N5_K50_normal_rho-0.5_partial_hvhm,normal,-0.5,partial,hvhm,20345306,OK,1.66846061488647,1.5256596044980009,0.914411518549279,0.08558848145072095
cpbsd_instance_001_N5_K50_normal_rho-0.5_partial_hvlm,normal,-0.5,partial,hvlm,20346306,OK,1.920194299836379,1.7115874470345585,0.8913615914704068,0.10863840852959317
cpbsd_instance_001_N5_K50_normal_rho-0.5_partial_zero,normal,-0.5,partial,zero,20344306,OK,15.686239750099658,14.093417698574552,0.8984573692037962,0.10154263079620385
cpbsd_instance_001_N5_K50_normal_rho0.0_full_hvhm,normal,0.0,full,hvhm,20357306,OK,1.625522820335382,1.177968081205474,0.7246702823664036,0.27532971763359637
cpbsd_instance_001_N5_K50_normal_rho0.0_full_hvlm,normal,0.0,full,hvlm,20358306,OK,1.1377638580746572,0.9616945538235464,0.8452496948276612,0.1547503051723388
cpbsd_instance_001_N5_K50_normal_rho0.0_full_zero,normal,0.0,full,zero,20356306,OK,25.658890004922895,23.624837557306748,0.9207271847213229,0.07927281527867713
cpbsd_instance_001_N5_K50_normal_rho0.0_none_hvhm,normal,0.0,none,hvhm,20351306,OK,1.215065355539149,0.6660378129223912,0.5481497846071471,0.45185021539285286
cpbsd_instance_001_N5_K50_normal_rho0.0_none_hvlm,normal,0.0,none,hvlm,20352306,OK,1.3113784591328597,0.9426468464387202,0.7188213592146688,0.28117864078533117
cpbsd_instance_001_N5_K50_normal_rho0.0_none_zero,normal,0.0,none,zero,20350306,OK,3.5775059854027966,3.0844433675299956,0.8621769970799122,0.13782300292008776
cpbsd_instance_001_N5_K50_normal_rho0.0_partial_hvhm,normal,0.0,partial,hvhm,20354306,OK,1.8939008669657402,1.2568802108904813,0.6636462514028817,0.3363537485971183
cpbsd_instance_001_N5_K50_normal_rho0.0_partial_hvlm,normal,0.0,partial,hvlm,20355306,OK,1.908222388938646,1.4509043712818934,0.7603434377944213,0.23965656220557874
cpbsd_instance_001_N5_K50_normal_rho0.0_partial_zero,normal,0.0,partial,zero,20353306,OK,15.413719142366006,13.9575049917873,0.9055248031232015,0.0944751968767985
cpbsd_instance_001_N5_K50_normal_rho0.5_full_hvhm,normal,0.5,full,hvhm,20366306,OK,1.3953491696635008,1.0623826943156973,0.7613740828554756,0.2386259171445244
cpbsd_instance_001_N5_K50_normal_rho0.5_full_hvlm,normal,0.5,full,hvlm,20367306,OK,1.2699645651711748,0.8397170607255435,0.6612129847988006,0.33878701520119936
cpbsd_instance_001_N5_K50_normal_rho0.5_full_zero,normal,0.5,full,zero,20365306,OK,24.905171586461314,21.95354640331258,0.8814854508068009,0.11851454919319915
cpbsd_instance_001_N5_K50_normal_rho0.5_none_hvhm,normal,0.5,none,hvhm,20360306,OK,0.9968149345107992,0.672046503683068,0.6741938552645022,0.32580614473549785
cpbsd_instance_001_N5_K50_normal_rho0.5_none_hvlm,normal,0.5,none,hvlm,20361306,OK,1.1806056239470828,0.761959700644081,0.6453973157409199,0.35460268425908015
cpbsd_instance_001_N5_K50_normal_rho0.5_none_zero,normal,0.5,none,zero,20359306,OK,3.22724491161766,2.8654872448575914,0.8879051089498079,0.1120948910501921
cpbsd_instance_001_N5_K50_normal_rho0.5_partial_hvhm,normal,0.5,partial,hvhm,20363306,OK,1.8441854491902743,1.1706436516338086,0.6347754517571986,0.3652245482428014
cpbsd_instance_001_N5_K50_normal_rho0.5_partial_hvlm,normal,0.5,partial,hvlm,20364306,OK,1.6840109712845794,1.3344053326176153,0.7923970540404012,0.20760294595959883
cpbsd_instance_001_N5_K50_normal_rho0.5_partial_zero,normal,0.5,partial,zero,20362306,OK,14.450688539990518,13.056712621932443,0.9035356748434223,0.09646432515657766
cpbsd_instance_001_N5_K50_uniform_rho-0.5_full_hvhm,uniform,-0.5,full,hvhm,20375306,OK,1.8258978684434788,1.2877866835969447,0.7052895486946062,0.29471045130539375
cpbsd_instance_001_N5_K50_uniform_rho-0.5_full_hvlm,uniform,-0.5,full,hvlm,20376306,OK,1.3365762099866114,1.075807989559544,0.8048983526126957,0.1951016473873043
cpbsd_instance_001_N5_K50_uniform_rho-0.5_full_zero,uniform,-0.5,full,zero,20374306,OK,25.900730397873755,23.90895544813781,0.9230996609308186,0.07690033906918137
cpbsd_instance_001_N5_K50_uniform_rho-0.5_none_hvhm,uniform,-0.5,none,hvhm,20369306,OK,1.3750777758500439,0.9710518669195246,0.706179595055444,0.29382040494455597
cpbsd_instance_001_N5_K50_uniform_rho-0.5_none_hvlm,uniform,-0.5,none,hvlm,20370306,OK,1.3546732268749924,1.1793649708318794,0.8705900046112817,0.12940999538871834
cpbsd_instance_001_N5_K50_uniform_rho-0.5_none_zero,uniform,-0.5,none,zero,20368306,OK,3.9870250987741773,3.3636262968926407,0.8436431207635983,0.15635687923640174
cpbsd_instance_001_N5_K50_uniform_rho-0.5_partial_hvhm,uniform,-0.5,partial,hvhm,20372306,OK,1.9064957606419894,1.4380224845532963,0.7542752070264555,0.24572479297354455
cpbsd_instance_001_N5_K50_uniform_rho-0.5_partial_hvlm,uniform,-0.5,partial,hvlm,20373306,OK,2.2052676290759354,1.5915815175514667,0.721718079278378,0.27828192072162194
cpbsd_instance_001_N5_K50_uniform_rho-0.5_partial_zero,uniform,-0.5,partial,zero,20371306,OK,15.109571107033577,14.14980042043523,0.9364792898620683,0.0635207101379317
cpbsd_instance_001_N5_K50_uniform_rho0.0_full_hvhm,uniform,0.0,full,hvhm,20384306,OK,2.1574803028291045,1.2418254869814178,0.5755906486622435,0.4244093513377565
cpbsd_instance_001_N5_K50_uniform_rho0.0_full_hvlm,uniform,0.0,full,hvlm,20385306,OK,1.2627896980344062,0.989414383566104,0.7835147729714423,0.21648522702855766
cpbsd_instance_001_N5_K50_uniform_rho0.0_full_zero,uniform,0.0,full,zero,20383306,OK,25.068742371938306,23.02885824082818,0.9186283818771238,0.08137161812287619
cpbsd_instance_001_N5_K50_uniform_rho0.0_none_hvhm,uniform,0.0,none,hvhm,20378306,OK,1.4190872411298612,0.8774079933094212,0.6182903826341494,0.38170961736585063
cpbsd_instance_001_N5_K50_uniform_rho0.0_none_hvlm,uniform,0.0,none,hvlm,20379306,OK,1.5913017168502859,0.9171762697742539,0.5763685541605837,0.42363144583941625
cpbsd_instance_001_N5_K50_uniform_rho0.0_none_zero,uniform,0.0,none,zero,20377306,OK,3.6208733540832014,2.7795604895796036,0.767649187852742,0.23235081214725795
