dist_family,rho,heterogeneity,cost_scenario,instances,drop_mean,drop_median,ratio_mean,ratio_median
logit,-0.5,none,hvhm,1,0.3598723628405929,0.3598723628405929,0.6401276371594071,0.6401276371594071
lognormal,0.0,partial,hvhm,1,0.3613696526667213,0.3613696526667213,0.6386303473332787,0.6386303473332787
uniform,0.0,none,hvhm,1,0.3762564368450204,0.3762564368450204,0.6237435631549796,0.6237435631549796
lognormal,0.5,partial,hvhm,1,0.38417857389502397,0.38417857389502397,0.615821426104976,0.615821426104976
uniform,0.0,partial,hvlm,1,0.39175955426854503,0.39175955426854503,0.608240445731455,0.608240445731455
exponential,0.0,full,hvhm,1,0.3989521207533996,0.3989521207533996,0.6010478792466004,0.6010478792466004
exponential,-0.5,full,hvhm,1,0.4123790229872264,0.4123790229872264,0.5876209770127736,0.5876209770127736
uniform,0.0,none,hvlm,1,0.41529027511513206,0.41529027511513206,0.5847097248848679,0.5847097248848679
uniform,0.5,none,hvhm,1,0.4180374020427451,0.4180374020427451,0.5819625979572549,0.5819625979572549
exponential,-0.5,partial,hvhm,1,0.42087484488180826,0.42087484488180826,0.5791251551181917,0.5791251551181917
exponential,0.0,none,zero,1,0.4215464101465981,0.4215464101465981,0.5784535898534019,0.5784535898534019
exponential,0.5,full,hvlm,1,0.4248842425347301,0.4248842425347301,0.5751157574652699,0.5751157574652699
lognormal,0.5,full,hvlm,1,0.43166382069029274,0.43166382069029274,0.5683361793097073,0.5683361793097073
uniform,0.0,full,hvhm,1,0.4345912300248248,0.4345912300248248,0.5654087699751752,0.5654087699751752
lognormal,0.0,full,hvlm,1,0.4421292458159546,0.4421292458159546,0.5578707541840454,0.5578707541840454
normal,0.0,none,hvhm,1,0.4432395687810017,0.4432395687810017,0.5567604312189983,0.5567604312189983
uniform,0.5,full,hvhm,1,0.45160528936826805,0.45160528936826805,0.548394710631732,0.548394710631732
exponential,0.5,none,hvlm,1,0.45457061043995906,0.45457061043995906,0.545429389560041,0.545429389560041
exponential,0.0,full,hvlm,1,0.46842960904747055,0.46842960904747055,0.5315703909525294,0.5315703909525294
exponential,0.0,partial,hvhm,1,0.4829273098208243,0.4829273098208243,0.5170726901791757,0.5170726901791757
lognormal,0.0,full,hvhm,1,0.4863620935135572,0.4863620935135572,0.5136379064864428,0.5136379064864428
exponential,-0.5,full,hvlm,1,0.5195151002296601,0.5195151002296601,0.4804848997703399,0.4804848997703399
exponential,-0.5,partial,hvlm,1,0.5243099424335169,0.5243099424335169,0.4756900575664831,0.4756900575664831
exponential,0.5,full,hvhm,1,0.5846860211770443,0.5846860211770443,0.41531397882295573,0.41531397882295573
exponential,0.5,partial,hvlm,1,0.6196224297295752,0.6196224297295752,0.3803775702704248,0.3803775702704248
