bundle_id,bundle_binary,bundle_size,selected_segment_count,selected_customer_weight,avg_price,instance_count,customer_share,cumulative_customer_share
743,1011100111,7,1,0.001212,2.047670,1,0.001212,0.900207
529,1000010001,3,1,0.001200,1.348801,1,0.001200,0.901407
588,1001001100,4,1,0.001170,1.646768,1,0.001170,0.902577
612,1001100100,4,1,0.001164,1.670238,1,0.001164,0.903741
737,1011100001,5,1,0.001160,1.564270,1,0.001160,0.904901
604,1001011100,5,1,0.001155,1.838628,1,0.001155,0.906056
701,1010111101,7,1,0.001147,2.092797,1,0.001147,0.907203
630,1001110110,6,1,0.001145,1.890031,1,0.001145,0.908348
610,1001100010,4,1,0.001144,1.503078,1,0.001144,0.909492
622,1001101110,6,1,0.001143,1.668257,1,0.001143,0.910635
240,0011110000,4,1,0.001136,1.633795,1,0.001136,0.911771
919,1110010111,7,2,0.001136,2.072477,2,0.001136,0.912907
454,0111000110,5,1,0.001127,1.683826,1,0.001127,0.914034
204,0011001100,4,1,0.001121,1.703463,1,0.001121,0.915155
567,1000110111,6,1,0.001119,1.989345,1,0.001119,0.916273
881,1101110001,6,1,0.001117,1.793984,1,0.001117,0.917391
918,1110010110,6,2,0.001107,1.981018,2,0.001107,0.918498
134,0010000110,3,1,0.001104,1.259499,1,0.001104,0.919602
121,0001111001,5,1,0.001097,1.722820,1,0.001097,0.920699
425,0110101001,5,1,0.001073,1.825850,1,0.001073,0.921772
681,1010101001,5,1,0.001070,1.623846,1,0.001070,0.922842
940,1110101100,6,1,0.001067,2.153143,1,0.001067,0.923909
933,1110100101,6,1,0.001067,1.889307,1,0.001067,0.924976
826,1100111010,6,1,0.001053,2.005968,1,0.001053,0.926029
362,0101101010,5,1,0.001027,1.591030,1,0.001027,0.927056
552,1000101000,3,1,0.001026,1.450938,1,0.001026,0.928083
372,0101110100,5,1,0.001001,1.745895,1,0.001001,0.929084
483,0111100011,6,1,0.000996,1.958296,1,0.000996,0.930080
310,0100110110,5,1,0.000996,1.887004,1,0.000996,0.931075
437,0110110101,6,1,0.000972,1.888519,1,0.000972,0.932047
459,0111001011,6,1,0.000964,1.815780,1,0.000964,0.933011
57,0000111001,4,1,0.000962,1.700774,1,0.000962,0.933973
226,0011100010,4,1,0.000958,1.695426,1,0.000958,0.934931
297,0100101001,4,1,0.000939,1.675554,1,0.000939,0.935870
859,1101011011,7,1,0.000936,2.176590,1,0.000936,0.936806
621,1001101101,6,1,0.000930,1.757596,1,0.000930,0.937736
430,0110101110,6,1,0.000927,1.893151,1,0.000927,0.938663
