sample,customer_id,bsp_purchased,bsp_size,bsp_price,bsp_value,bsp_cost,bsp_surplus,bsp_profit,bsp_bundle,bsp_items,bsp_bundle_in_fcp_menu,fcp_purchased,fcp_bundle_idx,fcp_size,fcp_price,fcp_value,fcp_cost,fcp_surplus,fcp_profit,fcp_bundle,fcp_items,same_purchase_decision,same_bundle,same_size,bsp_purchase_fcp_no_purchase,profit_gap_bsp_minus_fcp,surplus_gap_bsp_minus_fcp,fcp_size_support
in_sample,20,1,10,54.48899733449856,55.09968312813231,51.0,0.6106857936337491,3.4889973344985634,1111111111,"9,8,7,6,5,4,3,2,1,0",1,1,32,9,51.12435294800897,51.20922051838603,47.33333333333333,0.08486757037706383,3.7910196146756405,1110111111,"0,1,2,4,5,6,7,8,9",1,0,0,0,-0.3020222801770771,0.5258182232566853,"0,1,2,3,4,5,6,7,8,9,10"
in_sample,21,1,9,53.56580450400532,57.135789714832015,50.199999999999996,3.569985210826694,3.3658045040053253,0111111111,"9,8,7,6,5,4,2,3,1",1,1,24,9,54.574495514278,57.135789714832015,50.199999999999996,2.5612942005540162,4.374495514278003,0111111111,"1,2,3,4,5,6,7,8,9",1,1,1,0,-1.0086910102726776,1.0086910102726776,"0,1,2,3,4,5,6,7,8,9,10"
in_sample,22,1,5,40.34110944548172,40.551397196922096,37.44444444444444,0.21028775144037581,2.8966650010372774,0000011111,"9,8,7,6,5",0,1,27,8,48.3207182716391,48.320718271639095,43.666666666666664,-7.105427357601002e-15,4.654051604972437,1101011111,"0,1,3,5,6,7,8,9",1,0,0,0,-1.75738660393516,0.21028775144038292,"0,1,2,3,4,5,6,7,8,9,10"
in_sample,23,1,9,53.56580450400532,53.73815013770249,50.199999999999996,0.17234563369716938,3.3658045040053253,0111111111,"9,8,7,6,4,5,3,2,1",1,1,23,7,41.86179206468678,41.9046879470726,38.08888888888889,0.04289588238582098,3.772903175797893,0111100111,"1,2,3,4,7,8,9",1,0,0,0,-0.40709867179256776,0.1294497513113484,"0,1,2,3,4,5,6,7,8,9,10"
in_sample,24,0,0,0.0,0.0,0.0,0.0,0.0,0000000000,,0,0,-1,0,0.0,0.0,0.0,0.0,0.0,0000000000,,1,1,1,0,0.0,0.0,"0,1,2,3,4,5,6,7,8,9,10"
in_sample,25,1,10,54.48899733449856,54.492379401346014,51.0,0.00338206684745046,3.4889973344985634,1111111111,"9,8,6,7,5,4,2,3,1,0",1,1,3,6,43.36190215449638,43.8655200732843,40.15555555555555,0.5036179187879242,3.2063465989408257,0010011111,"2,5,6,7,8,9",1,0,0,0,0.2826507355577377,-0.5002358519404737,"0,1,2,3,4,5,6,7,8,9,10"
in_sample,26,1,8,52.207780688943295,52.38265497868271,48.44444444444444,0.17487428973941377,3.763336244498852,0011111111,"9,8,7,6,5,4,3,2",0,1,4,6,37.46736405065777,37.46736405065778,34.422222222222224,7.105427357601002e-15,3.045141828435547,0011110011,"2,3,4,5,8,9",1,0,0,0,0.7181944160633051,0.17487428973940666,"0,1,2,3,4,5,6,7,8,9,10"
in_sample,27,1,10,54.48899733449856,55.88365218573222,51.0,1.3946548512336534,3.4889973344985634,1111111111,"9,8,7,6,5,4,3,1,2,0",1,1,36,10,55.22876648022058,55.88365218573222,51.0,0.6548857055116386,4.228766480220578,1111111111,"0,1,2,3,4,5,6,7,8,9",1,1,1,0,-0.7397691457220148,0.7397691457220148,"0,1,2,3,4,5,6,7,8,9,10"
in_sample,28,1,9,53.56580450400532,53.977905282946715,50.199999999999996,0.41210077894139374,3.3658045040053253,0111111111,"9,7,8,6,5,4,3,2,1",1,1,32,9,51.12435294800897,51.24412156464099,47.33333333333333,0.11976861663202243,3.7910196146756405,1110111111,"0,1,2,4,5,6,7,8,9",1,0,1,0,-0.42521511067031525,0.2923321623093713,"0,1,2,3,4,5,6,7,8,9,10"
in_sample,29,1,10,54.48899733449856,56.035319422797556,51.0,1.546322088298993,3.4889973344985634,1111111111,"9,8,7,6,5,4,3,2,1,0",1,1,36,10,55.22876648022058,56.035319422797556,51.0,0.8065529425769782,4.228766480220578,1111111111,"0,1,2,3,4,5,6,7,8,9",1,1,1,0,-0.7397691457220148,0.7397691457220148,"0,1,2,3,4,5,6,7,8,9,10"
