n,dist_family,rho,heterogeneity,cost_scenario,instances,status_counts,runtime_mean,drop_mean,drop_median,ratio_mean,ratio_median
5,exponential,0.0,partial,hvhm,1,{'OPTIMAL': 1},99.7326591014862,0.3828992311732162,0.3828992311732162,0.6171007688267838,0.6171007688267838
5,exponential,0.0,partial,hvlm,1,{'OPTIMAL': 1},127.73664498329163,0.31716771458747983,0.31716771458747983,0.6828322854125202,0.6828322854125202
5,exponential,0.0,partial,zero,1,{'TIME_LIMIT': 1},300.1658329963684,0.08409819080841363,0.08409819080841363,0.9159018091915864,0.9159018091915864
5,exponential,0.5,full,hvhm,1,{'OPTIMAL': 1},58.69462609291077,0.331180360167475,0.331180360167475,0.668819639832525,0.668819639832525
5,exponential,0.5,full,hvlm,1,{'OPTIMAL': 1},45.75686001777649,0.4610395153366632,0.4610395153366632,0.5389604846633368,0.5389604846633368
5,exponential,0.5,full,zero,1,{'TIME_LIMIT': 1},300.208801984787,0.25404369329521137,0.25404369329521137,0.7459563067047886,0.7459563067047886
5,exponential,0.5,none,hvhm,1,{'OPTIMAL': 1},80.52341389656067,0.4398443345913793,0.4398443345913793,0.5601556654086207,0.5601556654086207
5,exponential,0.5,none,hvlm,1,{'OPTIMAL': 1},172.05958700180054,0.26595846264209044,0.26595846264209044,0.7340415373579096,0.7340415373579096
5,exponential,0.5,none,zero,1,{'TIME_LIMIT': 1},300.0161290168762,0.299276809946618,0.299276809946618,0.700723190053382,0.700723190053382
5,exponential,0.5,partial,hvhm,1,{'OPTIMAL': 1},85.55546593666077,0.5048229347201147,0.5048229347201147,0.4951770652798853,0.4951770652798853
5,exponential,0.5,partial,hvlm,1,{'OPTIMAL': 1},86.37245297431946,0.5584770094497005,0.5584770094497005,0.4415229905502995,0.4415229905502995
5,exponential,0.5,partial,zero,1,{'TIME_LIMIT': 1},300.1266529560089,0.35763848634739814,0.35763848634739814,0.6423615136526019,0.6423615136526019
5,logit,-0.5,full,hvhm,1,{'TIME_LIMIT': 1},301.07833909988403,0.16136814677205202,0.16136814677205202,0.838631853227948,0.838631853227948
